Time	openfire_nolog_2	openfire_nolog_4	openfire_nolog_8
0	13.25	11.6	1.65
1	16.6	34.775	9.9375
3	318.15	46.4	17.4
4	112.8	104.425	32.3125
6	129.3	699.9	53.025
8	684.95	266.65	465.05
10	741.75	633.2	443.2125
11	659.55	624.325	532.075
13	595.6	533.1	372.675
14	579.5	498.05	355.5625
16	490.15	405.975	260.45
18	529.45	537.5	439.4375
20	470.2	461.5	429.75
22	433.65	476.4	401.4625
24	565.1	531.475	306.3375
26	509.8	583.475	302.95
28	446.75	476.875	242.55
30	499.6	422.1	278.075
32	549.25	501.025	182.9875
34	575.9	520.35	222.75
35	589.15	526.2	222.7875
37	559.25	461.925	298.9875
39	521.1	554.3	245.95
41	675	323	232.6375
42	558.45	425.65	268.3
44	566.7	568.075	197.9625
46	528.95	565.75	355.9125
48	539.55	580.725	191.3625
50	546	615.575	346.85
52	512.55	579.9	408.75
54	400.95	631.725	461.8625
55	562.75	583.575	413.6875
57	544.65	595.775	410.925
59	542.5	590.625	582.7125
61	524.95	241.85	475.6625
62	417.05	638.9	440.05
64	565.85	635.9	570.225
66	321.1	618.85	493.825
68	509.8	573.675	593.3375
70	511.75	566.6	608.8375
72	380.55	633.65	592.8375
74	575.8	612.125	603.2125
75	483.55	537.325	582.6125
77	590.6	600.1	554.7
79	420	588.375	509.4125
81	513.05	553.8	607.9125
83	575.65	618.875	568.1125
85	395.35	638.7	579.6625
87	603.25	213.475	592.5375
88	366.95	500	590.3125
90	519.5	470.2	585.7875
92	565.5	566.175	562.1875
94	553.1	475.2	558.275
96	589.35	592.75	534.65
98	579.7	597.5	547.7375
100	554.7	630.5	143.3625
101	535.7	585.85	572.8875
103	592.4	603.075	532.9375
105	569.45	605.75	590.2625
107	559.35	616.8	597.325
109	562.85	609.775	575.3875
111	513	598.4	590.65
112	599.05	587.3	580.0375
114	518.65	605.225	591.55
116	548.45	402.45	594.8125
118	539.8	629.65	592.0375
120	523.15	540.975	562.7625
122	499.45	548.875	599.9625
124	531.6	570.8	569.4875
125	553.2	423.475	591.2375
127	546.3	578.975	583.325
129	556.85	601.875	485.0875
131	589.4	587.375	606.525
133	577.1	555.75	517.9125
135	579.1	574.8	551.3875
137	575.6	596.275	604.3625
138	559.1	598.925	588.825
140	566	566.9	520.1375
142	529.6	574.5	541.0625
144	774.5	597.225	519.35
146	552.75	579.2	578.275
148	519.55	607.625	578.975
150	572.15	565.375	573.725
152	589.45	587.025	575.95
154	579.15	185.475	596.3
156	380.8	304.025	517.15
157	384.15	640.225	524.05
159	538.8	620.325	576.925
161	586.15	526.425	594.925
163	384.25	616.575	589.6
165	341.25	620.825	521.4375
166	400	599.925	595.325
168	589.15	613.625	605.65
170	601.15	608.65	590.175
172	607.75	539.925	595.5
174	595.7	474.275	517.925
176	609.1	628.95	609.4375
177	585.65	535.675	609.8125
179	565.9	631.4	613.1875
181	592.5	554.6	620
183	622	634.025	593.975
185	641.8	613.6	599.875
187	589	605.35	413.5125
189	562.85	627.825	102.675
191	615.95	616.7	548.175
192	593	519.325	540.45
194	598.55	630.775	544.4125
196	572.75	630.35	598.8
198	592.5	607.125	599.05
200	572.5	627.05	598.0375
202	601.45	607.75	604.3375
204	599.35	623.65	562.95
206	562.1	615.175	605.4125
207	601.6	589.175	581.475
209	542.4	620.325	588.2625
211	602.05	562.525	610.6125
213	553.05	612.875	535.3875
215	595.15	610.75	546.4875
217	532.25	508.075	584.8375
219	546.15	613.35	514.3125
220	589.05	584.275	582.1
222	602.1	601.425	595.3875
224	602.95	585.4	602.4625
226	576	620.475	597.075
228	560.3	483.05	595.775
230	557.5	593.7	516.2375
231	506.6	609.2	605.3625
233	664.8	619.175	583.575
235	589.25	636.475	572.7625
237	608.75	623.45	610.6625
239	569.4	542.55	608.8375
241	552.5	562.55	594.95
243	575.7	613.9	578.875
245	558.6	627.2	609.6625
246	394.1	634.15	571.5125
248	582.95	610.475	604.8
250	589.1	511.525	605.2125
252	566.2	531.475	574.175
254	588.95	609.175	481.4125
256	609.75	617.9	594.0125
258	565.85	373.925	563.3875
259	597.55	453.6	574.0125
261	562.8	626.4	583.2
263	546.05	625.175	597.675
265	546.05	607.5	586.375
266	583.7	628.325	460.9625
268	740.85	598.725	596.25
270	549.45	633.6	598.4125
272	552.45	626.35	588.25
274	582.6	617.55	387.925
276	582.3	640.65	565.6375
278	579.35	453.525	571.2625
279	582.8	603.175	610.225
281	598.05	613.975	510.6875
283	707.8	615.35	589.85
285	584.85	599.625	604.4125
287	559.4	595.4	593.45
289	592.3	512.5	621.1625
291	572.95	600.25	605.2875
292	536.2	531.475	579.9375
294	588.4	697.025	582.5125
296	400	608.825	563.2625
298	397.55	609.675	510.85
300	380.9	334.325	598.075
302	377.75	610.625	484.7375
304	400	611.65	510.325
305	400	620.4	589.1875
307	400	559.675	605.0125
