Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
0	0	0	0	0	0	0.825	0	0	3.3	1.65
1	13.3	0	39.6	0	0	3.3125	45.4	0	1.65	0.825
2	20	0	112.4	0	1.65	0.825	0	9.95	1.625	0.825
3	6.7	6.7	79.4	0	3.325	1.65	0	0	0	1.65
5	166.2	0	139	0	0	0	0	62.85	0	1.65
7	272.7	0	158.9	0	0	0.825	186.1	0	0	0
8	332.5	0	192	0	0	45.3875	0	0	0	1.65
9	319.1	0	154.7	0	0	4.125	0	3.3	0	1.65
11	358.8	0	171.9	147.8	0	0.825	0	0	0	0.825
13	319.2	0	144	0	0	76.4125	0	0	0	0
14	319.4	0	165.5	0	0	0.825	172	3.3	0	0
15	379.2	0	158.9	3.3	0	0	0	0	3.325	0
17	525.3	525.3	185.2	0	1.65	0	0	0	6.625	1.65
18	472	0	104.7	168.75	123.625	2.475	0	3.3	0	1.65
20	299.3	0	191.8	0	0	0	0	0	0	0.825
21	459.1	0	164.1	0	0	52.725	0	0	0	0
23	445.3	0	185.1	0	56.2	38.025	0	0	1.65	0
24	685.3	685.3	125.6	161.95	1.65	0	0	0	1.65	1.65
25	584.5	0	185.1	0	72.8	3.3125	0	0	0	0
27	472.4	0	152.2	0	1.65	12.425	152.3	0	1.65	0
28	598.4	0	194.4	0	0	73.7	0	0	0	0.825
30	439	0	185.4	16.55	0	18.5	0	3.3	1.65	2.4875
31	678.2	678.2	158.9	0	41.375	26.4125	0	0	0	0.825
33	572.2	0	145.5	6.6	1.65	19.875	0	6.6	34.725	0.825
34	545.3	0	145.5	0	1.65	57.8625	138.6	0	0	0.825
36	705.2	0	164.1	0	28.175	79.5625	0	0	0	0.825
37	704.8	0	169.5	0	1.65	76.4125	0	0	0	23.2125
38	552	552	92.6	192.55	18.175	41.375	0	0	41.375	16.5
40	578.5	0	198.3	0	0	47.7	0	0	52.85	12.3625
41	558.9	0	157	0	1.65	71.025	171.9	0	37.8	17.4
43	565.6	0	152.9	0	34.775	77.825	0	0	39.175	61.9
45	725	0	182.2	185	26.475	52.725	0	0	129	54.6625
46	731.3	0	123.3	0	1.65	24	0	0	49.7	11.575
48	711.8	0	131.4	0	1.65	87.725	121.8	0	138.3	24.8125
49	744.7	0	163.2	0	0	14.0625	0	0	103.4	75.6625
51	685.3	0	137.3	148.25	0	19.8875	0	0	106.925	61.1625
52	385.9	0	198.5	81.9	1.65	20.7125	0	0	129.65	46.3375
