Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
0	0	0	0	0	0	0.825	0	0	1.65	0
1	0	0	0	0	3.3	0.825	0	0	0	0.825
3	6.7	6.7	0	0	0	0.825	0	0	1.65	0
5	0	0	0	0	0	16.55	0	129.1	38.075	0.825
6	0	0	0	0	1.65	0	0	3.3	0	51.35
7	0	0	0	3.3	1.65	0	0	3.3	0	0.825
8	0	0	0	0	0	0.825	0	0	3.3	0.825
10	272.8	272.8	0	0	3.3	1.65	367.3	0	0	0
12	0	0	0	0	1.65	48.0375	0	171.45	0	0.825
14	0	0	0	0	1.65	3.3	0	0	0	0.825
15	0	0	0	0	0	0	0	185.25	0	0
17	525.3	525.3	0	0	0	0.825	0	0	0	0.825
19	0	0	0	0	0	1.65	0	188.5	241.4	0.825
21	0	0	0	0	1.65	0.825	0	0	1.65	0.825
22	0	0	0	0	1.65	0.825	0	92.6	3.325	0
24	685.3	685.3	0	0	0	0.825	158.6	0	0	1.65
26	0	0	0	0	0	0.825	0	0	256.3	0.825
28	0	0	6.6	0	1.65	1.65	0	6.65	4.95	0
30	0	0	0	0	1.65	0	0	0	0	1.65
31	678.2	678.2	0	84.2	0	0	92.8	0	0	0
32	0	0	171.9	0	21.525	1.65	0	86.15	0	0
34	0	0	0	0	158.95	1.65	0	0	0	319.6125
35	0	0	6.6	9.95	23.2	0	0	0	0	0
37	0	0	33.1	29.75	23.2	0.825	0	3.3	0	0
39	0	0	52.9	16.6	138.95	0.825	0	49.65	307.15	1.65
41	0	0	317.4	49.6	162.2	0.825	6.6	0	267.65	0
43	0	0	264.6	109.15	112.525	0	0	69.5	0	0.825
44	0	0	310.7	124.55	92.475	0	152.1	0	0	0.825
46	0	0	363.1	162.05	115.825	16.5625	79.5	49.7	313.975	308.675
48	0	0	396.8	218.35	79.475	0.825	112.6	0	1.65	0.825
50	0	0	396.7	204.75	109.225	0.825	367.3	0	0	0.825
52	0	0	328	182.05	71.175	0	350.7	0	0	292.9875
53	0	0	334.4	178.7	75.875	0	350.4	86	287.5	0
55	0	0	358.3	171.95	29.85	0.825	330.9	0	0	1.65
57	0	0	238	118.2	44.7	2.475	92.7	33	6.625	0
59	0	0	178.8	102.5	31.45	0.825	258.3	39.8	0	302.6375
60	0	0	191.9	72.1	44.7	1.6625	342	62.95	259.75	0
62	0	0	119	46.35	19.9	0	251.3	79.5	0	0
64	0	0	182.8	84.2	44.65	0.825	158.6	152.2	0	0.825
66	0	0	171.9	69.6	48.025	1.6625	139.1	43.05	0	288.9125
67	0	0	231.3	128.9	26.475	0.825	158.7	122.4	290.825	0.825
69	0	0	192.1	69.55	36.425	0	99.3	198.65	0	0.825
71	0	0	132.3	82.75	33.1	0.825	92.8	185.25	1.65	0.825
72	0	0	195.8	56.2	26.5	0	105.8	163.95	0	0
73	0	0	172.1	43.05	38.05	0	53	66.25	6.625	0.825
75	0	0	138.9	69.5	49.65	0.825	147.1	188.5	38.075	0.825
77	0	0	165.4	62.75	44.675	1.6625	72.9	92.6	72.825	0
79	0	0	204	69.55	28.15	24	92.7	99.35	125.75	0.825
80	0	0	158.7	56.25	34.75	16.55	123.3	105.95	265.95	0.825
82	0	0	171.9	52.95	39.725	38.8875	106	72.9	368.1	0.825
84	0	0	238	106.05	61.2	54.675	152.1	86.1	383.175	0.825
86	0	0	215.8	95.95	28.15	36.3875	99.2	125.9	352.825	0
87	0	0	204.9	69.5	59.55	48.0375	72.7	53	347.1	292.15
89	0	0	341.9	69.5	21.55	62.925	165.4	76.15	241.4	298.4375
91	0	0	238	89.35	48	61.2375	132.4	52.9	237.975	0
92	0	0	165.2	95.9	43.025	55.4375	145.5	72.85	217.375	0
94	0	0	125.9	72.75	34.75	47.1875	46.4	62.85	259.4	0
96	0	0	303.5	76.2	46.325	44.7	125.7	66.2	256.3	0.825
98	0	0	237.3	112.45	33.125	48.025	178.6	49.7	288.05	0
99	0	0	186.7	72.8	29.8	41.3625	119.1	69.5	249.55	0
101	0	0	211.4	96.1	47.975	55.4625	125.7	56.3	254.55	0
103	0	0	238.2	59.55	87.5	33.125	224.8	145.75	251.075	1.65
104	0	0	317	128.55	29.8	19.875	138.9	62.95	252.9	1.65
105	0	0	297.5	82.75	49.7	32.3	112	72.7	237.725	0.825
106	0	0	195	125.7	31.45	17.4	105.9	89.25	274.95	0.825
108	0	0	343.7	142.15	66.125	22.35	119	66.15	247.775	0
110	0	0	289.5	138.9	46.375	41.35	145.6	62.95	300.825	0.825
112	0	0	383.3	118.95	52.975	51.35	99.3	66.2	262.6	0
114	0	0	198.5	92.65	62.875	24	99.4	96.1	283.95	279.95
115	0	0	257.1	66.2	56.275	28.15	86.1	53.05	303.975	0
117	0	0	251.2	155.35	33.125	17.3875	105.7	82.75	254.65	0
119	0	0	202.2	211.55	38.075	16.575	86.2	95.95	298.9	1.65
121	0	0	276.9	92.75	67.85	16.5625	251.6	79.5	282.475	312.15
122	0	0	237.4	82.7	75.925	33.9375	323.8	43.05	298.5	0
123	0	0	341.9	155.6	84.3	14.9	218.5	49.65	287.5	306.5375
124	585	585	330.8	205.2	59.625	43.0375	112.6	152.2	212.65	0
125	0	0	265	89.35	61.2	14.075	271	82.7	305.5	0
127	0	0	357.1	122.35	54.65	14.9125	99.2	66.15	274.175	1.65
128	0	0	192.1	172.05	64.575	12.425	72.9	49.6	262.95	7.45
130	0	0	277.6	125.65	87.5	48.8375	284.4	82.85	259.75	114.2375
132	0	0	297.5	112.45	59.575	49.6375	248.1	65.1	277.65	13.2375
133	0	0	264.4	122.55	61.25	19.025	112.4	148.95	278.9	21.525
135	0	0	211.4	135.7	81.1	26.4875	388.9	99.35	246.475	278.575
137	0	0	307.1	128.55	107.525	64.5875	178.6	227.5	290.825	319.775
139	0	0	304.1	187.85	94.325	65.4125	310.8	89.4	271.2	373.15
140	0	0	264.5	125.7	84.35	19.8625	231.5	248.4	216.425	327.275
141	0	0	289	102.6	92.6	19.05	350.4	118.95	268.8	291.8875
143	0	0	310.7	168.6	56.275	9.9125	224.8	228.45	271.25	111.575
144	0	0	324.3	185.1	64.55	20.6875	306.6	109.2	251.425	296.3
146	0	0	362.2	158.7	102.65	20.6875	330.6	102.55	234.875	278.0875
148	0	0	363.6	132.25	117.15	25.6625	238.3	66.25	234	275.55
149	0	0	346.2	198.4	112.575	72.825	271	82.7	287.2	290.3125
150	0	0	343.8	155.35	84.3	19.875	337.4	277.75	217.975	300.7875
152	0	0	337.4	286.55	86.075	20.7	337.1	116	292.4	303.25
154	0	0	298.1	171.9	114.275	22.375	343.7	106	256.9	297.175
155	0	0	350.4	211.3	143.775	12.4375	264.2	133.4	254.075	299.6
156	0	0	316.1	175.3	183.475	65.425	356.2	109.15	249.15	302.075
157	0	0	396.5	264.9	115.875	28.1625	343.8	266.25	274.6	296.0625
159	0	0	357	191.8	104.25	76.1125	287.7	145.75	267.875	319.6125
161	0	0	343.7	248	116.15	58.7125	277.5	168.85	260.45	317.5375
162	0	0	361.8	271.1	173.75	24.0125	323.8	89.25	278.975	291.9625
163	0	0	396.6	303.85	105.875	69.55	178.5	280.75	300.225	320.925
164	0	0	364.9	290.15	117.25	19.875	344	172.15	238.65	304.1875
166	0	0	297.5	207.8	170.25	24.0125	315.5	281.45	214.3	233.725
168	0	0	351.4	217.6	115.875	28.1625	350.2	119.05	290.525	291.9875
170	0	0	323.9	241.35	157.175	20.6875	376.9	350.3	312.475	298.85
171	0	0	376.7	337.25	168.4	34.775	337.1	172.25	300.575	308.675
173	0	0	336.9	187.85	99.35	41.3625	390.2	271.35	191.775	267.5375
175	0	0	345.8	231.35	199.85	23.1875	388.9	139.05	262.85	304.475
177	13.3	13.3	359.2	247.8	147.175	24.8625	383.3	224.95	288.875	292.9875
179	6.7	6.7	356.5	274.25	175.325	100.175	355.9	359	287.7	300.2125
180	0	0	331.4	273.15	153.875	32.3	356.9	152.2	190	295.9375
181	166.2	166.2	300.9	267.95	112.55	44.7125	350.4	181.6	213.35	306.95
182	206.2	206.2	271	373.55	184.075	43.05	355.4	204.8	308.825	313.825
183	272.7	272.7	321.5	290.95	183.475	89.3125	330.4	158.65	280.575	312.0875
185	319.1	319.1	316.8	291.2	115.825	41.35	350.2	208.1	297.6	297.275
186	272.8	272.8	317.4	286.55	183.175	92.6625	347.1	234.8	280.975	305.625
188	358.8	358.8	317	327.2	175.025	34.7875	337.2	254.6	292.45	305.25
189	319.2	319.2	330.4	267.65	173.75	38.925	349	247.55	272.775	302.775
191	379.2	379.2	284.2	264.9	200.1	42.225	342.4	257.45	325.525	288.9125
193	525.3	525.3	317.4	314.1	170.475	33.975	396.5	227.5	282.075	299.2375
194	0	0	337.2	299.65	226.3	97.6375	343.7	227.75	279	214.1375
195	472	472	310.7	350.1	225.75	43.8625	337	343.65	262.575	318.3625
197	459.1	459.1	112.4	303.85	228.775	33.9375	309.3	308.2	297.8	300.525
198	505.7	505.7	297.5	257.75	168.4	43.0375	357	228.45	173.325	306.25
200	685.3	685.3	283.9	250.9	152.125	91.8625	288.4	224.05	302.425	291.275
201	0	0	257.7	355.65	191.75	43.0375	350.4	250.15	254.3	291.8625
202	584.5	584.5	270.9	353.6	199.85	42.2	374.4	254.35	271.1	307.2125
204	598.4	598.4	318.1	326.6	198.95	37.2625	396.7	238.3	300.125	314.5875
