Time	openfire_nolog_2	openfire_nolog_4	openfire_nolog_8
0	0.9	0.875	1
1	0.95	0.9	1.0125
2	1	0.9	1.025
4	1.05	0.9	1.0625
6	1.15	1.025	1.1125
7	1.3	1.1	1.175
8	1.5	1.125	1.2125
9	1.5	1.225	1.2625
12	1.7	1.525	1.4625
13	1.8	1.75	1.4875
14	2.2	1.9	1.6125
15	2.85	2.35	1.75
18	3.65	2.525	1.8125
19	3.75	3.25	1.85
21	4.35	3.475	1.8625
23	4.5	3.8	1.8625
25	4.55	4.25	1.8625
27	5.15	4.375	1.8625
28	5.75	4.475	1.875
31	5.9	4.8	1.8625
32	5.9	4.825	1.875
34	6.9	5.075	1.875
35	6.9	5.125	1.8625
38	8	5.25	1.8625
39	8.15	5.25	1.85
41	8.15	5.35	1.8375
43	8.6	5.4	1.8375
45	9.45	5.4	1.8375
47	9.45	5.425	1.8375
48	9.45	5.425	1.8375
51	10.1	5.475	1.8375
52	10.65	5.525	1.8375
54	10.65	5.575	1.8375
55	10.65	5.7	1.8625
57	11.35	5.75	1.9125
59	12	5.775	2.0125
61	12	5.925	2.0375
64	12.6	5.975	2.1125
65	12.6	6.175	2.175
67	12.9	6.2	2.225
68	12.95	6.2	2.325
70	13.35	6.25	2.4
72	14.05	6.575	2.45
74	14.25	6.7	2.5
77	14.9	6.95	2.5
78	15.25	7.1	2.5125
80	15.25	7.1	2.525
81	15.25	7.275	2.625
84	17.1	7.525	2.675
85	17.7	7.525	2.725
87	17.7	7.75	2.8375
90	17.7	8	2.95
91	17.7	8	2.9875
93	18.15	8	3.0875
94	18.15	8.125	3.15
97	18.15	8.425	3.1875
98	18.15	8.425	3.2875
100	18.85	8.525	3.375
103	18.85	8.875	3.475
104	18.85	8.875	3.5625
105	18.85	8.975	3.6875
107	19.7	9.275	3.7875
109	20.1	9.275	3.9375
111	20.1	9.525	4.025
113	20.1	9.65	4.1625
116	20.5	10.025	4.325
117	20.5	10.1	4.3625
118	20.5	10.1	4.5125
120	21.45	10.575	4.5875
122	21.45	10.65	4.7125
124	22.05	10.75	4.9
126	22.05	10.875	4.95
129	22.05	10.9	5.0625
130	22.05	10.9	5.0625
131	22.1	10.9	5.225
133	22.15	11.375	5.325
135	22.15	11.75	5.475
137	22.15	11.75	5.5125
139	22.15	11.975	5.8125
142	23.85	12.075	5.8375
143	24.45	12.075	5.925
145	24.45	12.35	6.125
146	24.45	12.65	6.225
148	24.45	12.9	6.3625
150	24.45	12.9	6.5375
152	24.9	12.95	6.6
155	24.95	13.175	6.7125
156	25.3	13.275	6.775
158	25.3	13.275	6.925
159	25.65	13.275	7.0375
161	25.75	13.575	7.1375
163	25.9	13.925	7.3125
165	25.9	14.175	7.3375
168	25.9	14.175	7.475
169	25.9	14.175	7.5
171	25.9	14.175	7.6375
172	26.2	14.3	7.725
174	26.2	14.325	7.8
176	26.5	14.325	7.9375
178	26.5	14.625	8.0625
