Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
0	0.5	0.5	3.5	3.7	3.575	3.5	2.6	3.65	3.5	3.4125
1	0.5	0.5	3.5	3.7	3.575	3.5	2.7	3.65	3.55	3.4125
3	0.8	1.1	3.5	3.7	3.65	3.5	2.6	3.65	3.55	3.4125
4	0.5	0.5	3.5	4.05	3.575	3.5	2.6	3.65	3.55	3.4125
5	0.5	0.5	3.5	3.7	3.575	3.5	2.6	3.65	3.55	3.475
7	0.5	0.5	3.5	3.7	3.575	3.5	3.7	3.65	3.55	3.4125
8	0.5	0.5	3.5	3.7	3.575	3.5125	2.6	3.65	3.55	3.4125
10	3	3	3.5	3.7	4.15	3.5	2.6	3.65	3.55	3.4125
11	0.5	0.5	3.5	5.35	3.575	3.5	2.6	3.65	3.55	3.4125
12	0.5	0.5	3.5	3.7	3.575	3.5	2.6	3.65	4.475	3.7
14	0.5	0.5	3.5	3.7	3.575	3.5	2.6	3.65	3.55	3.4125
16	0.5	0.5	6.3	3.7	4.925	3.4875	2.6	3.65	3.55	3.4125
17	4.9	4.7	3.5	3.7	3.575	3.4875	2.6	3.65	3.55	3.4125
18	0.5	0.5	3.5	3.7	3.575	3.4875	2.6	3.65	3.55	3.4125
20	0.5	0.5	3.5	3.7	3.575	3.4875	2.6	3.65	3.55	3.4125
21	0.5	0.5	3.5	3.7	3.575	3.4875	5.6	3.65	3.55	3.4125
23	0.5	0.5	7.6	3.7	5.175	3.4875	2.6	3.65	3.55	3.425
25	0.5	0.5	3.5	3.7	5.2	3.4875	2.6	3.65	3.55	3.425
26	0.5	0.5	3.5	3.7	3.575	3.5375	2.6	3.65	4.85	3.425
28	0.5	0.5	3.5	3.7	3.575	3.575	2.6	3.65	3.55	3.425
30	0.5	0.5	3.5	3.7	3.575	3.5875	2.6	3.65	3.55	3.425
32	0.5	0.5	3.5	3.7	3.575	3.6125	2.6	3.8	3.55	3.425
34	0.5	0.5	3.5	3.7	3.575	3.675	9.9	3.8	3.55	3.425
36	0.5	0.5	3.5	3.7	4.95	3.75	2.6	3.8	3.55	3.425
38	8.4	8.5	3.5	20.9	4.9	3.9	2.6	3.8	3.55	3.475
39	0.5	0.5	3.5	3.7	3.575	3.9375	2.6	3.8	3.55	3.525
41	0.5	0.5	3.5	3.7	3.575	4.0375	16.3	3.8	3.625	3.6
43	0.5	0.5	21.8	3.7	4.7	4.15	2.6	3.8	3.65	3.6375
44	0.5	0.5	3.7	3.7	3.575	4.3125	2.6	3.8	3.7	3.65
