Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
0	0.5	0.5	1.7	1.8	1.575	1.65	1.1	1.45	1.45	1.4875
1	0.5	0.5	1.7	1.8	1.6	1.6625	1.1	1.45	1.45	1.4875
3	0.8	0.8	1.7	1.8	1.575	1.6625	1.5	1.45	1.45	1.4875
5	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	1.525	1.4875
7	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	1.45	1.4875
8	0.5	0.5	1.7	1.8	1.75	1.6625	1.1	1.45	1.45	1.4875
10	3	3	1.7	1.8	1.575	1.6625	2.5	1.45	1.45	1.4875
12	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	1.85	1.4875
14	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	1.45	1.4875
15	0.5	0.5	1.7	1.8	1.95	1.6625	1.1	1.45	1.45	1.4875
17	4.9	4.9	1.7	2.75	1.575	1.6625	4.5	1.45	1.45	1.4875
19	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	2.1	1.4875
21	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	1.45	1.4875
22	0.5	0.5	1.7	1.8	2	1.6625	1.1	2.35	1.45	1.4875
24	6.3	6.3	1.7	2.7	1.575	1.6625	6.4	1.45	1.45	1.4875
26	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	2.35	1.4875
27	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	1.45	2.225
29	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	2.3	1.45	1.4875
30	0.5	0.5	1.7	1.8	1.575	1.6625	1.1	1.45	1.45	1.4875
31	7.6	7.6	1.7	2.45	1.575	1.6625	1.1	1.45	1.45	1.4875
33	0.5	0.5	1.7	1.8	1.6	1.6625	1.1	1.45	2.55	1.4875
35	0.5	0.5	1.7	1.8	1.8	1.6625	1.1	1.45	1.45	1.4875
37	0.5	0.5	1.7	1.8	1.625	1.6625	1.1	1.45	1.45	1.4875
38	8.4	8.4	8.5	2.3	1.675	1.7125	1.1	1.45	1.45	1.4875
40	0.5	0.5	1.8	1.85	1.75	1.75	1.1	1.45	1.45	1.4875
42	0.5	0.5	2.1	2	1.7	1.775	1.1	1.45	1.45	1.4875
44	0.5	0.5	2.2	2.1	1.875	1.775	1.1	1.45	1.45	1.4875
46	9.7	9.7	2.4	2.15	1.9	1.7875	1.3	2.1	1.45	1.4875
48	0.5	0.5	2.7	2.3	1.975	1.8125	1.5	1.45	1.45	1.4875
50	0.5	0.5	3.1	2.55	2.025	1.8375	1.8	2.1	1.45	1.4875
51	0.5	0.5	8.5	2.15	2	1.875	2.1	1.45	1.45	1.4875
53	12.6	12.6	3.6	2.75	2	1.875	2.3	2.1	1.45	1.4875
55	0.5	0.5	4.7	2.75	1.65	1.9	2.5	1.45	4.675	1.4875
56	0.5	0.5	5.5	2.75	1.95	1.9	2.8	1.45	1.45	1.4875
58	0.5	0.5	5.6	2.5	1.95	1.9	3.3	1.45	1.45	1.4875
60	19.3	19.3	6.7	2.75	1.9	1.9	3.8	2.15	5.35	1.4875
62	0.5	0.5	7.1	2.7	1.675	1.9	4.5	1.6	1.45	1.4875
64	0.5	0.5	7.1	2.45	1.875	1.9	4.5	1.65	1.45	1.4875
65	0.5	0.5	8.4	2.65	1.875	1.8875	5.2	1.7	1.45	1.4875
67	28.5	28.5	8.5	2.55	1.8	1.8875	5.3	1.85	6.475	1.4875
69	0.5	0.5	8.5	2.5	1.675	1.875	6.4	2	1.45	1.4875
71	0.5	0.5	8.5	2.5	1.775	1.875	6.4	2.1	1.45	1.4875
72	0.5	0.5	8.5	2.45	1.75	1.8375	6.4	2.1	1.45	1.4875
74	38.8	38.8	8.5	2.35	1.7	1.8375	6.4	2.3	7.775	1.4875
76	0.5	0.5	8.5	2.3	1.65	1.825	6.5	2.3	1.5	1.4875
78	0.5	0.5	8.5	2.2	1.675	1.8125	7.8	2.4	1.55	1.4875
80	0.5	0.5	8.5	2.2	1.65	1.7875	7.8	2.35	1.6	1.4875
82	0.5	0.5	8.5	2.2	1.675	1.7625	7.8	2.35	8.875	5.8875
83	0.5	0.5	8.5	2.2	1.65	1.7375	6.2	2.4	1.8	1.4875
85	0.5	0.5	8.5	2.15	1.625	1.7375	7.8	2.3	1.925	1.4875
87	0.5	0.5	8.5	2.15	1.65	1.725	7.7	2.3	9.4	6.1
89	0.5	0.5	8.6	2.1	1.675	1.7	6.2	2.2	2.05	6.2375
91	0.5	0.5	8.5	2.6	1.675	1.6875	7.7	2.2	2.1	1.4875
92	0.5	0.5	8.5	2.25	1.675	1.6875	7.5	2.15	2.15	1.4875
94	0.5	0.5	8.5	2.35	1.675	1.6375	7.5	2.15	2.175	1.4875
96	0.5	0.5	8.5	2.4	1.725	1.6375	7.3	2.1	2.225	6.575
98	0.5	0.5	8.5	2.5	1.675	1.625	7.3	2.15	2.35	1.4875
100	0.5	0.5	8.5	2.5	1.675	1.6125	7.2	2.65	2.35	6.725
101	0.5	0.5	8.7	2.5	1.675	1.5875	7.2	2.15	10.825	1.4875
103	0.5	0.5	8.5	2.45	1.775	1.5875	6.1	2.7	2.45	1.4875
105	0.5	0.5	8.6	2.5	1.65	1.575	7	2.1	2.55	1.4875
106	0.5	0.5	8.6	2.8	1.65	1.55	7	2.8	2.575	1.4875
108	0.5	0.5	8.9	2.5	1.65	1.5375	6.9	2.1	2.65	1.4875
110	0.5	0.5	8.5	2.5	1.65	1.525	6.9	2.9	2.825	1.4875
112	0.5	0.5	8.5	2.5	1.675	1.5125	6.8	2.1	2.975	1.4875
114	0.5	0.5	8.5	2.5	1.675	1.5125	6.7	2.15	3.1	7.4375
115	0.5	0.5	8.5	2.5	1.675	1.5125	6.7	2.15	3.225	1.4875
116	45	45	8.5	2.5	1.95	1.4875	6	2.15	3.3	1.4875
118	0.5	0.5	8.5	2.5	1.675	1.475	6.6	2.15	11.875	1.4875
119	0.5	0.5	8.5	3.75	1.675	1.45	6.6	2.15	3.8	1.4875
120	0.5	0.5	16.6	2.5	1.675	1.45	6.6	3	12.2	1.4875
122	0.5	0.5	8.5	2.55	1.675	1.45	6.9	2.15	4.125	1.4875
124	51.5	51.5	8.6	2.5	1.7	1.4375	6.4	3.15	4.45	1.4875
126	0.5	0.5	20.2	2.5	1.725	1.4	6.3	3.15	4.525	1.4875
128	0.5	0.5	8.6	2.5	1.725	1.3875	6.2	2.25	4.825	8.1125
130	0.5	0.5	8.6	2.6	1.75	1.3875	6.2	3.35	5.2	8.2
132	0.5	0.5	25.3	2.6	1.75	1.3875	6.2	2.3	5.35	1.5
133	0.5	0.5	8.6	2.6	1.775	1.3875	6.2	3.6	5.7	1.5
135	0.5	0.5	8.7	2.6	1.775	1.3875	16.3	2.35	5.975	1.525
136	0.5	0.5	8.7	2.6	2.3	1.3875	6.2	2.35	6.125	8.45
138	0.5	0.5	30.6	2.65	1.8	1.3875	6.1	2.4	6.475	8.5625
140	0.5	0.5	8.7	2.65	1.825	1.3625	6.1	2.4	6.675	1.775
142	0.5	0.5	8.8	2.7	2.3	1.35	6.1	2.4	7.05	1.8625
143	0.5	0.5	8.7	2.8	1.825	1.35	6.1	4.7	7.35	8.775
145	0.5	0.5	8.7	2.8	1.9	1.35	6.1	2.45	7.45	1.9
147	0.5	0.5	8.9	2.8	1.9	1.3625	25.2	2.45	7.875	8.8375
149	0.5	0.5	9.5	2.8	2.425	1.375	6.1	2.55	8.275	8.9
151	0.5	0.5	10.9	2.9	2.425	1.4	6.1	2.55	8.425	8.925
153	0.5	0.5	12.5	3.3	2.1	1.425	6.1	2.6	8.575	9.0125
155	0.5	0.5	14.1	3.6	2.175	1.4375	6	2.65	9.125	9.1125
157	0.5	0.5	14.2	5.25	2.325	1.4375	6	2.65	9.15	9.1125
159	86.7	86.7	16.6	4	2.325	1.45	6	2.65	9.4	2.575
160	0.5	0.5	17.5	4.05	2.3	1.45	34.3	2.7	9.7	9.1625
162	0.5	0.5	54.9	4.5	2.55	1.4625	6	2.75	9.875	9.1875
163	0.5	0.5	18.2	6.45	2.325	1.4625	6	2.8	14.375	2.7375
165	0.5	0.5	20.2	6.95	2.3	1.4625	6.2	2.8	10.275	2.8375
167	0.5	0.5	23.3	4.55	2.325	1.4625	6.9	2.8	10.275	2.9375
169	0.5	0.5	23.5	8.1	2.3	1.4625	8.1	2.9	14.7	3.0375
171	0.5	0.5	25.3	8.15	2.7	1.4625	10.1	2.9	14.7	3.1125
172	0.5	0.5	25.6	4.5	2.3	1.4875	44.9	2.9	10.6	3.175
173	86	86	28	4.5	2.3	1.5	11.1	5.95	10.825	3.3125
175	0.5	0.5	28.4	4.45	2.75	1.5125	13.2	2.95	10.925	3.45
177	0.5	0.5	30.6	4.55	2.85	1.525	14.8	6.5	11.15	3.4875
178	0.5	0.5	32.4	9.1	2.35	1.5375	16.2	3	11.15	3.6
180	85.1	85.1	32.7	4.7	2.4	1.55	16.3	3.05	11.3	3.8125
182	1.1	1.1	35.5	5.1	2.425	1.5875	17.9	3.15	15.375	3.9125
184	1.6	1.6	36.6	10.4	3.375	1.5875	18	3.15	15.675	4.0875
185	2.2	2.2	64.6	5.1	2.425	1.5875	19	3.15	11.55	9.9375
186	2.6	2.6	38.8	5.05	2.45	1.575	20.1	7.35	11.55	4.225
187	3	3	40.5	5.05	2.45	1.575	21.3	3.15	11.6	9.95
189	3	3	43.9	5.05	2.45	1.575	60.1	7.2	11.875	9.95
191	5.2	5.2	64.6	5.05	4.025	1.575	24.8	3.6	12.2	4.625
193	4.6	4.6	47.5	5.1	2.5	1.6	27	3.75	12.25	4.75
194	4.9	4.9	49	5.25	2.55	1.6	27.2	3.95	12.25	10.3
196	4.7	4.7	49.8	5.25	2.625	1.5875	27.2	3.95	12.475	4.9625
198	7.3	7.3	51.8	5.55	2.65	1.575	29.3	7	12.5	10.35
200	6.1	6.1	52.6	5.9	2.7	1.5875	61.6	4.6	12.8	10.475
202	6.3	6.3	66.3	6.45	2.7	1.5875	32.3	4.7	12.85	10.475
204	6.8	6.8	56.8	6.95	5.7	1.6125	34.1	4.7	12.925	5.5625
205	6.8	6.8	56.9	7.45	2.7	1.6125	34.3	8.75	12.925	10.475
207	7.4	7.4	58.6	16.45	2.75	1.625	37.3	4.7	13.25	10.775
209	7.6	7.6	58.7	16.45	2.85	1.625	37.7	4.85	13.25	5.8875
210	9	9	59.1	8.15	6.625	1.6375	38.3	4.9	17.1	5.9375
212	7.9	7.9	59.1	16.75	3.05	1.65	65.4	4.9	13.325	5.9625
213	8.2	8.2	59.2	8.2	3.15	1.675	42.3	4.9	13.325	10.8875
214	8.4	8.4	67.3	17.6	6.85	1.725	42.6	4.9	17.225	6.1
216	8.4	8.4	64.6	8.7	3.375	1.7625	44.8	4.9	17.2	6.2375
217	8.5	8.5	64.6	9.1	6.8	1.825	44.9	4.9	13.775	10.975
219	8.7	8.7	64.6	9.25	3.7	1.85	45.1	4.95	13.925	10.975
221	8.8	8.8	64.6	18.5	3.95	1.9125	48.5	5.45	14	11.1125
223	9.4	9.4	64.6	10.4	4.025	1.925	66	5.65	17.375	6.575
225	10.2	10.2	64.6	10.7	4.225	1.9625	54.2	6	14	6.6625
227	10.9	10.9	64.6	11.95	6.625	1.975	54.6	11.5	17.35	6.725
229	36.3	36.3	64.6	12.9	4.625	2	66	5.95	17.35	6.9
230	12	12	64.6	13.15	6.6	2.075	55.5	11.5	14.35	11.2125
232	13.3	13.3	67.3	13.35	4.75	2.0875	56.6	6	14.35	11.25
233	14.3	14.3	66.3	19.1	5.075	2.0875	59.5	11.95	14.35	7.125
235	16.5	16.5	66.3	14.05	6.55	2.1	66	6.5	14.375	7.225
236	35.3	35.3	66.3	14.15	5.7	2.1125	60.6	11.95	14.375	11.275
237	17.8	17.8	66.3	19.15	5.875	2.1125	61.1	6.85	14.7	7.3
239	20.6	20.6	66.3	15.15	6.625	2.1	61.6	12.3	14.7	7.3625
241	24	24	66.3	15.55	6.525	2.125	66	7.35	14.7	7.4375
242	25.4	25.4	66.3	15.5	6.625	2.175	61.6	12.3	17.725	7.4875
243	35.3	35.3	66.3	19.2	6.5	2.1625	61.6	7.35	14.7	7.55
245	28.5	28.5	66.3	16.45	6.5	2.1625	61.6	12.3	14.925	11.35
247	32.1	32.1	66.3	16.45	6.8	2.1375	66	7.2	14.925	11.325
249	35.7	35.7	66.3	19.95	6.8	2.15	61.6	7.1	15.275	11.325
250	35.3	35.3	68.4	16.75	6.8	2.1375	65.4	7	15.275	7.9125
252	38.8	38.8	67.3	17.6	6.5	2.1625	65.4	12.85	15.275	7.95
254	42.7	42.7	67.3	17.6	6.5	2.175	66	6.9	15.375	8.0125
256	46.6	46.6	69.5	20	6.65	2.1875	65.4	7	15.675	8.2
258	48.8	48.8	67.3	18	6.5	2.2	65.4	13.1	15.7	11.2875
260	52.6	52.6	67.3	18.5	6.625	2.2125	66	8.2	16.025	11.3375
262	56.1	56.1	69.5	20	6.6	2.2125	66	8.6	16.075	11.5
263	57.4	57.4	67.3	18.5	6.575	2.2	66	8.75	16.225	8.45
265	58.7	58.7	67.3	18.7	6.5	2.1875	66	9.1	16.6	8.5625
267	61.5	61.5	67.3	19.05	6.55	2.1875	66	9.35	16.6	8.6375
269	63	63	69.5	19.05	6.525	2.1875	66	9.75	16.6	8.775
271	35.4	35.4	67.3	19.1	6.5	2.1875	66	10.45	16.725	8.8125
273	64	64	68.3	19.1	6.525	2.1875	66	10.45	16.725	8.8375
275	65.6	65.6	69.5	20.3	6.5	2.1875	66	10.45	16.725	8.9
277	63.6	63.6	68.3	19.15	6.5	2.1875	66	11.2	16.95	11.4125
279	62.6	62.6	68.3	19.15	6.5	2.1875	66	13.95	20.775	11.5
281	66.6	66.6	69.8	20.35	6.5	2.175	66	11.2	20.825	11.675
283	60.2	60.2	68.3	19.2	6.5	2.175	66	11.5	17.225	11.6625
285	56.3	56.3	68.4	19.7	6.5	2.175	66	11.5	20.825	11.675
286	54.1	54.1	68.4	19.95	6.5	2.175	66	11.5	17.225	9.1125
288	48.6	48.6	68.4	19.95	6.5	2.175	66	11.5	17.2	9.1875
290	47	47	68.4	19.95	6.5	2.175	66	11.95	17.375	9.2875
292	45.9	45.9	68.4	19.95	6.5	2.175	66	14.3	17.375	9.45
294	45	45	68.4	20.95	6.5	2.175	66	11.95	21.3	9.45
296	44.9	44.9	69.5	20	6.5	2.175	66	12.3	17.375	11.5125
298	45.2	45.2	69.5	20	6.6	2.175	66	12.3	17.35	11.475
300	49.3	49.3	69.5	21	6.5	2.175	66	12.3	21.35	11.4375
301	51.4	51.4	69.5	20	6.5	2.175	66	12.3	17.35	9.575
303	51.7	51.7	69.5	20	6.5	2.175	66	12.3	17.35	9.575
305	52.4	52.4	69.5	20.2	6.7	2.175	66	14.65	17.775	9.825
307	31.2	31.2	69.5	20.3	6.5	2.175	66	12.85	21.475	9.8375
309	82.6	82.6	69.5	20.3	6.7	2.175	66	12.85	17.75	11.625
311	86.3	86.3	69.5	20.3	6.5	2.175	66	12.85	17.75	11.5875
313	31.2	31.2	69.5	21.3	6.5	2.175	66	13.1	21.725	11.6375
315	31.2	31.2	69.5	20.35	6.5	2.175	66	13.1	21.8	11.6125
317	31.2	31.2	69.8	20.35	6.5	2.175	66	13.1	21.8	11.5375
319	31.2	31.2	69.8	21.35	6.7	2.175	66	13.1	18.625	10.275
320	31.2	31.2	69.8	20.35	6.5	2.175	66	13.4	21.925	10.3
322	31.2	31.2	69.8	20.35	6.7	2.175	69.2	13.55	18.6	10.325
324	31.2	31.2	70.2	20.35	6.7	2.175	66	13.55	18.6	10.35
326	31.2	31.2	69.8	20.55	6.5	2.175	66	13.55	22.15	10.475
328	31.2	31.2	69.8	20.6	6.55	2.175	69.2	13.6	18.575	11.8125
330	31.2	31.2	70.2	20.95	6.6	2.175	66	13.6	18.575	11.8
332	86.3	86.3	69.8	21.55	6.625	2.175	66	13.75	22.675	10.475
334	31.2	31.2	69.8	20.95	6.625	2.1875	69.2	15.45	19.7	10.775
335	31.2	31.2	69.8	20.95	6.7	2.2	66	13.75	19.7	10.775
337	86.7	86.7	69.8	21	6.7	2.225	66	13.95	19.9	10.8
339	31.2	31.2	69.8	21	6.7	2.225	66	13.95	22.775	10.8875
341	86.6	86.6	70.1	21	6.7	2.25	69.2	14.1	19.975	11.55
343	86.7	86.7	70.2	21	6.7	2.25	66	14.1	20	11.5
345	86.7	86.7	70.1	21	6.7	2.25	66	14.1	22.75	10.975
347	86.7	86.7	70.1	21.05	6.7	2.25	69.2	15.65	20.725	11.5
349	31.1	31.1	71.1	21.2	6.7	2.25	66	14.15	20.75	11.4625
351	86	86	70.1	22.2	6.7	2.25	66	14.3	20.775	11.15
353	31.1	31.1	70.1	21.35	6.7	2.25	69.2	14.3	20.825	11.15
354	85	85	70.1	21.35	6.7	2.25	66	14.5	20.825	11.3625
356	85	85	70.1	21.35	6.7	2.25	66	14.5	20.825	11.325
358	85.1	85.1	70.1	21.35	6.7	2.25	67.8	14.5	23.2	11.25
360	85.1	85.1	70.1	21.35	6.7	2.25	67.8	15.9	21.025	11.2875
361	85.3	85.3	71.4	21.35	6.7	2.25	67.8	14.6	21.05	11.25
363	61.4	61.4	70.2	21.35	6.7	2.25	67.8	14.65	21.175	11.275
365	31.1	31.1	70.2	21.35	6.7	2.25	69.2	14.65	21.3	11.2625
366	60.2	60.2	70.2	21.35	6.7	2.25	67.8	14.65	21.3	11.225
368	60.1	60.1	70.2	21.35	6.7	2.25	69.2	14.65	21.3	11.35
370	59.4	59.4	70.2	21.5	6.7	2.25	69.2	16	21.3	11.2625
372	31.1	31.1	70.2	21.55	6.7	2.25	69.2	14.8	21.35	11.35
373	59.2	59.2	70.2	21.55	6.7	2.25	69.2	16	21.3	11.25
375	59.1	59.1	70.2	22	6.7	2.25	69.2	15	23.325	11.225
377	59.7	59.7	70.2	22.2	6.675	2.25	69.2	15	23.325	11.225
379	31.1	31.1	70.2	22.2	6.675	2.25	69.2	15.05	21.475	11.2
380	60.1	60.1	71.4	22.2	6.7	2.25	69.2	15.1	21.45	11.3375
382	60.1	60.1	70.2	22.75	6.675	2.25	69.2	15.1	21.45	11.3125
383	60.5	60.5	70.2	22.2	6.675	2.25	69.2	16.3	21.725	11.1625
