Time	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
22	0	0	0
24	0	0	0
26	0	0	0
27	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
33	0	0	0
35	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
52	116.5	0	0
54	0	0	0
55	0	0	0
56	1312.5	0	0
58	2320	0	0
60	0	0	0
61	0	0	0
62	277.5	0	0
64	1131	0	0
65	13658	0	0
67	113.5	0	0
68	212	0	0
70	0	0	0
71	0	0	0
73	0	0	0
74	0	0	0
76	936	0	0
77	0	0	0
79	0	0	0
80	0	0	0
82	293	0	0
84	0	0	0
85	0	0	0
87	0	0	0
88	728280	0	0
90	0	0	0
91	859	0	0
93	0	0	0
94	0	0	0
96	1448	0	0
97	603	0	0
99	0	0	0
100	137270	0	0
102	1961	0	0
104	0	0	0
106	0	0	0
108	4405	0	0
109	363571	0	0
110	93	0	0
112	0	0	0
114	5929	13.25	0
116	7998	0	0
118	1148	286	0
119	4860871.5	122	0
121	27893	45.25	0
122	1341019.5	723	0
124	586	215.75	0
126	12221	817.5	0
127	724	640.5	0
129	2054	54.5	0
131	4344	155	0
133	8542702	0	0
135	1632268	0	0
136	293	0	0
137	0	0	0
139	0	0	0
140	0	5525.5	0
142	0	0	0
144	0	0	0
146	0	0	0
148	0	293	0
149	0	3878	0
151	0	13473.5	0
153	2172	0	0
155	0	0	0
158	0	91	0
159	0	146.5	0
161	109	0	0
163	0	0	0
165	0	58.5	0
166	0	0	0
167	0	0	0
169	0	0	0
170	0	0	0
172	0	0	0
175	0	15793.5	0
176	0	63	0
178	0	0	0
179	0	0	0
181	0	0	0
183	0	468	0
185	0	0	0
187	0	362	0
189	0	0	0
191	0	0	0
192	0	2977	0
194	0	362	0
196	0	0	0
198	0	290895	0
201	0	333879	0
202	84.5	0	0
204	1263.5	0	0
206	1936.5	241927	0
207	0	0	0
209	0	141	0
211	1612.5	5186	0
213	3279	0	0
214	3907	146.5	0
216	0	0	0
218	0	611.5	0
220	0	362	0
222	0	936	0
223	0	0	0
225	0	0	0
227	0	666151	0
229	0	22926.5	0
231	0	71724.5	0
232	0	618962.5	0
234	0	1766	0
235	0	0	0
237	0	574	0
239	0	14161	0
240	0	724	0
242	0	1086	0
244	0	936	0
246	0	362	0
247	0	0	0
249	1.5	6350	0
250	0	0	0
252	0	1335.5	0
254	0	0	0
255	0	0	0
257	0	0	0
258	0	0	0
260	0	0	0
262	0	3851.5	0
264	0	982	0
265	0	182570.5	0
266	0	274470	0
268	237	120.5	0
269	0	0	0
270	0	282.5	0
271	0	0	0
272	0	92606.5	0
273	0	12088.5	0
275	76	0	0
276	0	0	0
277	0	0	0
278	0	0	0
279	0	0	0
280	0	0	0
282	0	5232.5	0
284	0	27401.25	0
285	0	27402.25	0
287	500.5	0	0
289	0	0	0
291	0	0	0
293	0	0	0
294	0	0	0
295	0	0	0
296	0	0	0
297	0	0	0
298	0	0	0
300	76.5	0	0
301	0	0	0
303	0	0	0
304	0	0	0
305	0	0	0
306	0	0	0
307	162	0	0
309	0	0	0
310	0	0	0
311	0	0	0
313	0	0	0
314	0	0	0
316	348	0	0
318	0	0	0
320	9.5	0	0
322	0	0	0
323	0	0	0
324	0	0	0
325	0	0	0
327	0	0	0
