Time	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
0	14609	14554.25	14750.875
1	14609	14554.25	14750.875
3	14609	14554.25	14722.25
4	14609	14554.25	14722.25
6	14609	14611.5	14693.875
7	14609	14611.5	14693.875
9	14609	14611.5	14665.5
11	14609	14667.75	14693.875
12	14609	14554.75	14693.875
13	14609	14554.75	14722.25
15	14609	14554.75	14722.25
16	14609	14554.75	14693.875
17	14609	14554.75	14693.875
18	14609	14554.75	14693.875
19	14609	14554.75	14722.25
20	14609	14554.75	14722.25
21	14609	14612.5	14722.25
22	14609	14612.5	14722.25
24	14609	14497.5	14693.875
25	14609	14497.5	14693.875
26	14609	14497.5	14693.875
27	14609	14553.75	14693.875
28	14609	14611	14693.875
30	14609	14611	14750.875
32	14609	14611	14750.875
33	14383	14611	14750.625
35	14383	14611	14750.625
36	14383	14667.75	14750.625
38	14383	14724.5	14750.625
39	14383	14667.75	14722.5
40	14383	14667.75	14722.5
41	14383	14667.75	14723
43	14383	14725.5	14723
44	14383	14725.5	14694.625
45	14383	14782.25	14723
46	14383	14782.25	14723
47	14383	14782.25	14723
48	14159	14782.25	14723
49	14383	14782.25	14751.125
51	14383	14782.25	14751.125
53	14839	14782.25	14751.125
54	15535	14839	14751.125
55	16856.5	14839	14751.125
57	17989	14839	14723
58	18368.5	14839	14723
60	18757	14839	14723
61	18887.5	14839	14723
63	19019	14897.25	14751.625
65	19283	14897.25	14751.625
67	19549	14897.25	14723
68	19549	14897.25	14751.625
69	19683.5	14897.25	14723
71	19683.5	14954.5	14723
73	19683.5	14840.5	14751.125
74	19683.5	14840.5	14751.125
75	19683.5	14840.5	14779.25
76	19683.5	14840.5	14751.125
78	19683.5	14840.5	14807.875
80	19683.5	14840.5	14836.25
81	19683.5	14840.5	14864.875
82	19683.5	14840.5	14864.875
83	19683.5	14840.5	14836.5
84	19683.5	14724.5	14836.5
86	19683.5	14781.75	14865.375
87	19683.5	14781.75	14865.375
89	19952.5	14781.75	14865.375
90	19952.5	14781.75	14865.375
92	19817	14839.5	14807.875
94	19682.5	14839.5	14807.875
95	19682.5	14839.5	14807.875
96	19682.5	14839.5	14807.875
98	19682.5	14782.25	14807.875
99	19682.5	14669.25	14779.75
100	19682.5	14669.25	14779.75
101	19682.5	14669.25	14779.75
102	19682.5	14669.25	14779.75
103	19682.5	14669.25	14808.375
105	19817	14669.25	14808.375
107	19817	14669.25	14836.75
108	19817	14725.5	14836.75
110	19549	14725.5	14865.125
111	19682.5	14775.5	14865.125
112	19682.5	14782.25	14865.125
113	19682.5	14840.5	14893.25
115	19682.5	14840.5	14893.25
117	19682.5	16622	14893.25
118	19682.5	17235	14893.25
119	19682.5	17481.5	14893.25
120	19817	17481.5	14893.25
122	19817	19352.75	14893.25
123	19817	19419	14893.25
124	19817	19619.25	14893.25
126	19817	19686	14893.25
127	19817	19752.25	14864.625
129	19951.5	19752.25	14836.25
131	19951.5	19819	14836.25
132	19951.5	19819	14807.875
133	19951.5	19752.25	14807.875
134	19951.5	19752.25	14807.875
135	19951.5	19752.25	14807.875
137	19951.5	19752.25	14807.875
138	19951.5	19752.25	14836.5
140	19951.5	19819	14893.5
141	19951.5	19751.25	14893.5
143	19951.5	19751.25	14922.375
145	19951.5	19617.25	14893.5
147	19951.5	19617.25	14893.5
148	19951.5	19617.25	14893.5
150	19951.5	19684	14893.5
151	19951.5	19684	14893.5
152	19683.5	19684	14922.375
153	19817	19751.25	14951.25
155	19817	19954.5	15008.75
157	20087	19954.5	15037.125
158	20087	19954.5	15037.125
159	19951.5	19955	15065.75
161	19951.5	19955	15037.625
163	19951.5	20022.75	15037.625
164	19951.5	20022.75	15009
166	19817	20022.75	15009
167	19817	20022.75	15009
168	19817	20022.75	15009
170	19551	20022.75	15009
171	19551	20022.75	15009
173	19551	20091	15009
174	19551	20023.75	15009
175	19551	20023.75	14980.375
176	19551	20090.5	14980.375
178	19551	20092.5	14980.375
179	19551	20092.5	14980.375
181	19686.5	20159.25	14951.5
183	19686.5	20159.25	14980.375
184	19686.5	20159.25	14980.375
185	19686.5	20159.25	14980.375
186	19686.5	20159.25	14980.375
187	19686.5	20159.25	14951.5
189	19686.5	20159.25	14894.25
191	19686.5	19956.5	14894.25
192	19686.5	19822.5	14894.25
194	19686.5	19822.5	14894.25
196	19686.5	19822.5	14894.25
197	19686.5	19755.75	14922.875
198	19686.5	19755.75	14922.875
200	19686.5	19957.5	14951
201	19686.5	20024.25	14951
203	19686.5	20093.5	14922.125
204	19686.5	20022.75	14893.5
206	19686.5	20022.75	14893.25
208	19823	20091.5	14921.875
210	19823	20091.5	14921.875
211	19823	20091.5	14893.25
213	19686.5	20091.5	14864.875
215	19952.5	20091.5	14893.25
217	19817	20091.5	14893.25
218	19817	20091.5	14864.875
220	19817	19959.5	14808.375
221	19817	19959.5	14808.375
222	19817	19959.5	14808.375
224	19817	20028.75	14780.25
225	19817	20028.75	14780.25
227	19951.5	20028.75	14780.25
228	20087	20160.75	14780.25
229	20087	20160.75	14780.25
230	19819	20160.75	14808.375
232	19819	20160.75	14808.375
234	19819	20160.75	14808.375
236	19819	20160.75	14837.25
238	19819	19820.5	14836.5
240	19819	19820.5	14836.5
241	19819	19820.5	14836.5
242	19819	19820.5	14836.5
244	19819	19820.5	14807.875
245	19955.5	19820.5	14807.875
246	20089	19820.5	14807.875
247	20089	19820.5	14807.875
248	20089	19820.5	14807.875
249	20089	19820.5	14779.5
251	20089	19820.5	14779.5
252	20089	19685.5	14779.5
253	20089	19685.5	14779.5
254	20089	19685.5	14779.5
255	20089	19685.5	14779.5
257	20089	19685.5	14779.25
259	20089	19752.25	14779.5
261	20089	19686	14779.25
262	20089	19618.25	14864.875
264	20359	19551	14893.5
266	20359	19551	14922.125
268	20087	19751.75	14922.125
270	19952.5	19751.75	14922.125
271	19952.5	19751.75	14922.125
272	19819	19751.75	14921.625
274	19686.5	19751.75	14893
275	19686.5	19751.75	14893
277	19683.5	19819.5	14893
279	19683.5	19819.5	14864.625
280	19683.5	19686.5	14893
281	19683.5	19686.5	14893
282	19683.5	19754.25	14864.625
283	19817	19754.25	14864.625
284	19817	19754.25	14836.25
286	19549	20159.25	14836.25
288	19549	20159.25	14836.25
290	19285	20226	14865.125
291	19285	20226	14865.125
293	19416.5	20226	14865.125
295	19551	20226	14865.125
296	19551	20265	14865.125
297	19551	20294.25	14836.25
298	19551	20161.25	14807.625
299	19551	20161.25	14807.625
300	19551	20227.5	14807.625
301	19551	20294.25	14807.625
303	19551	20294.25	14807.625
305	19683.5	20294.25	14807.625
307	19683.5	20432.25	14807.625
309	19683.5	20432.25	14750.625
310	19683.5	20432.25	14779.25
312	19683.5	20432.25	14807.625
313	19683.5	20297.25	14836.25
314	19683.5	20364.5	14836.25
316	19683.5	20364.5	14808.125
318	19817	20364.5	14808.125
320	19817	20364.5	14836.25
321	19952.5	20364.5	14864.875
323	19952.5	20364.5	14836.25
325	19952.5	20226.5	14807.625
326	19952.5	20226.5	14836
328	19952.5	20226.5	14864.625
330	19952.5	20226.5	14864.625
332	19952.5	20226.5	14864.625
333	19817	20293.75	14893.25
335	19817	20293.75	14864.875
336	19817	20293.75	14864.875
337	19817	20293.75	14864.875
339	19817	20293.75	14836.5
341	19817	20225	14836.5
342	19817	20293.75	14836.5
344	19817	20293.75	14836.5
345	19817	20362.5	14808.375
347	19817	20362.5	14836.5
348	19817	20362.5	14836.5
350	19817	20362.5	14864.875
351	19551	20362.5	14893.25
353	19551	20362.5	14893.25
354	19551	20430.25	14893.25
356	19551	20430.25	14893.25
357	21083.5	20293.75	14807.875
359	21083.5	20226.5	14807.875
360	21083.5	20365.5	14836.25
362	21083.5	20500.5	14836.25
364	21083.5	20502	14836.25
366	21229	20502	14836.25
368	21229	20502	14836.5
370	21229	20705.25	14807.875
372	21229	20705.25	14836.75
373	21229	20569.25	14808.125
375	21362.5	20569.25	14808.125
376	21362.5	20569.25	14808.125
378	21362.5	20569.25	14750.625
379	21362.5	20569.25	14750.625
380	21362.5	20569.25	14779.25
382	21362.5	20569.25	14779.25
384	21362.5	20569.25	14779.25
386	21362.5	20430.25	14807.875
387	21362.5	20430.25	14807.875
389	21362.5	20430.25	14807.875
390	21362.5	20430.25	14807.875
391	21362.5	20566.25	14836.5
393	21362.5	20498.5	14836.5
394	21362.5	20498.5	14808.125
395	21362.5	20498.5	14808.125
396	21362.5	20498.5	14808.125
397	21954.5	20429.75	14808.125
398	21954.5	20429.75	14808.125
400	21954.5	20293.75	14780
401	21954.5	20293.75	14836.5
403	22105	20225	14807.875
405	22105	20292.75	14779.5
407	22105	20292.75	14779.5
409	22105	20292.75	14779.5
411	21839	20224.5	14779.5
413	21990.5	20224.5	14779.5
414	21990.5	20157.25	14808.125
